# Ledger of every migration APPLIED to Supabase project fgybyghwcjlstqxkclch,
# and the repository file that represents it. Refresh instructions and the
# meaning of FOLDED: are in docs/db/MIGRATION_INTEGRITY.md.
# version	applied_name	md5(statements)	repo_file
20260811041650	ai_reads_toggle_rpc	5bf4a31b156bb318287261520d2a09de	FOLDED:0078_security_hardening.sql
20260811043702	plot_gate_uses_effective_plan	7cbc67115ff06c900180ad81cc552788	0079_plot_gate_effective_plan.sql
20260811102059	gemini_provider_pivot	0ac0f0a76014984474e360076ebcb1f7	0080_gemini_provider_pivot.sql
20260811102502	ai_usage_room_column	0d8d35ebc6cfc53bc4c4a00d5013c364	FOLDED:0080_gemini_provider_pivot.sql
20260811125702	commercial_model	beb71a224c6dcadb83989c9f49186126	0081_commercial_model.sql
20260811130433	promotions_admin_read	97cf2eff238e321aab87a67d73ef7c02	FOLDED:0081_commercial_model.sql
20260811131006	commercial_model_qa_fixes	d552b8a1d54789a3161c8a4bb4d28bdf	FOLDED:0081_commercial_model.sql
20260812012001	agent_actions	260e36813e362554980ec4b7877eff95	0082_agent_actions.sql
20260812014429	stripe_billing_hardening	47e9f42dd6ed78418c83d10a3faef30d	0083_stripe_billing_hardening.sql
20260812014536	billing_webhook_helpers	d65a0d563c55c8d9d2b00c6e36fe44f1	0084_billing_webhook_helpers.sql
20260812022611	request_options	ac8033aa34db5697b21534bfa49b91ff	0085_request_options.sql
20260812023406	public_listings_request_options	de71a4cea19ecfd6fd6a8ac440c4618f	0088_public_listings_request_options.sql
20260813004742	onboarding_and_ai_drafts	53aacf810efa832691c15f62d9102fdd	0086_onboarding_and_ai_drafts.sql
20260813004812	onboarding_and_draft_rpcs	48f7c9015a1a60951a3fcc52466e9199	FOLDED:0086_onboarding_and_ai_drafts.sql
20260813021448	profiles_public_projection	20d67568c6845466cd2a54cf0274560a	0087_profiles_public_projection.sql
20260813053222	launch_grant_repairs	7db0069a05df7324555d9b49397f1b62	0092_launch_grant_repairs.sql
20260813105438	market_privacy	af4c147f9b204a882358a45afb84c632	0093_market_privacy.sql
20260813105609	phone_validation_fix	c88f8ab8243d730c7ddd9497c5cf4651	0090_phone_validation_fix.sql
20260815022214	prohibited_content	c201169960973ab1a469a4ce5ab608d1	0095_prohibited_content.sql
20260815022936	eggs_class_fix	8bac37927d090221d810d2e78a6fec38	0096_eggs_class_fix.sql
20260815023634	admin_team_and_ai_org	c6aa76b59edd8f6a9b6ee9129e6c481c	0094_admin_team_and_ai_org.sql
20260815023748	admin_invite_pending_rows	10869ab35489534682c05fcab407aa45	0097_admin_invite_pending_rows.sql
20260815023914	admin_team_vocabulary	f5638ba396d0ee5ed84c7e9de8fba2a6	0098_admin_team_vocabulary.sql
20260815024049	audit_actor_type_normalize	23c423f77a794bc20eeaacee3aaf6928	0099_audit_actor_type_normalize.sql
20260815035959	rate_limit_retry_time	37c72edd8fa1fab031a516263cc2ced3	0100_rate_limit_retry_time.sql
20260815041325	moderation_and_team_console	5d4f5170c8b3d1565a6734b2115b26ca	0101_moderation_and_team_console.sql
20260815043214	screening_columns_readable	4ecd62601a01721586c0be87ff2a5498	0102_screening_columns_readable.sql
20260815043733	suspension_cannot_be_evaded	1f85e6ed3573415c94ecb72a3feb655e	0103_suspension_cannot_be_evaded.sql
20260817010713	listing_allowance_model	71ff1bbf43099300815ff8719bb17c1e	0104_listing_allowance_model.sql
20260817010715	plan_aware_publish_rate_limit	a3d57c4ee4e5b0c406011290e991eeca	0105_plan_aware_publish_rate_limit.sql
20260817010717	promotions_and_paid_publishing	5b07b5a7f223ef6a09ff152af9501acf	0106_promotions_and_paid_publishing.sql
20260817010719	allowance_actual_usage	420a340b63926b7e4fb65e958b007dc2	0107_allowance_actual_usage.sql
20260817010720	admin_allowance_usage	24274623d6866eb355dc546a1ac950e6	0108_admin_allowance_usage.sql
20260817010722	promo_admin_repairs	71bbe8ac1f0659ea88a2474ed21b8662	0109_promo_admin_repairs.sql
20260817010724	wanted_introduction_limits	f3f60e8acbfd76faa0c7f6072b9352a1	0110_wanted_introduction_limits.sql
20260817010726	market_qr	d7d1fb6c3b73d9e7ce987ffd29c9f229	0111_market_qr.sql
20260817014004	renew_listing_active_guard	b1b049534ef0d88298509da4d89a5241	0112_renew_listing_active_guard.sql
20260817022703	overage_rpc_anon_revoke	7a118da4f01f6a74f667c99d17c6ad34	0113_overage_rpc_anon_revoke.sql
20260817034443	draft_publish_lifetime	1ba659674ecdf87fc51418027bed3665	0114_draft_publish_lifetime.sql
20260817040040	market_import_drafts	e43d1a23283fe124233536f300c0ff5a	0115_market_import_drafts.sql
20260817140023	0116_ai_market_actions	5793b3431d510becd4205e3d90f3750b	0116_ai_market_actions.sql
20260817165609	0117_market_drops	a6c6d058fb045afe6148d5533b6844c1	0117_market_drops.sql
